Entry	Gene ontology (GO)	yourlist:M20170516A7434721E10EE6586998A056CCD0537EB52514A
P15121	cell projection cytoplasm [GO:0032838]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; mast cell granule [GO:0042629]; nucleoplasm [GO:0005654]; paranodal junction [GO:0033010]; perinuclear region of cytoplasm [GO:0048471]; Schmidt-Lanterman incisure [GO:0043220]; Schwann cell microvillus [GO:0097454]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; aldo-keto reductase (NADP) activity [GO:0004033]; electron carrier activity [GO:0009055]; glyceraldehyde oxidoreductase activity [GO:0043795]; C21-steroid hormone biosynthetic process [GO:0006700]; carbohydrate metabolic process [GO:0005975]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to methylglyoxal [GO:0097238]; cellular response to peptide [GO:1901653]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; fructose biosynthetic process [GO:0046370]; inner medullary collecting duct development [GO:0072061]; maternal process involved in female pregnancy [GO:0060135]; naphthalene metabolic process [GO:0018931]; negative regulation of apoptotic process [GO:0043066]; norepinephrine metabolic process [GO:0042415]; positive regulation of JAK-STAT cascade [GO:0046427]; positive regulation of smooth muscle cell proliferation [GO:0048661]; regulation of urine volume [GO:0035809]; renal water homeostasis [GO:0003091]; response to stress [GO:0006950]; response to thyroid hormone [GO:0097066]; response to water deprivation [GO:0009414]; sorbitol biosynthetic process [GO:0006061]; stress-activated protein kinase signaling cascade [GO:0031098]; tissue homeostasis [GO:0001894]	P15121
P12814	brush border [GO:0005903]; cell projection [GO:0042995]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fascia adherens [GO:0005916]; focal adhesion [GO:0005925]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; pseudopodium [GO:0031143]; ruffle [GO:0001726]; stress fiber [GO:0001725]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; double-stranded RNA binding [GO:0003725]; integrin binding [GO:0005178]; ion channel binding [GO:0044325]; ligand-dependent nuclear receptor transcription coactivator activity [GO:0030374]; protein homodimerization activity [GO:0042803]; vinculin binding [GO:0017166]; actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; actin filament organization [GO:0007015]; focal adhesion assembly [GO:0048041]; negative regulation of cellular component movement [GO:0051271]; platelet degranulation [GO:0002576]; platelet formation [GO:0030220]; platelet morphogenesis [GO:0036344]; regulation of apoptotic process [GO:0042981]	P12814
P35611	cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; F-actin capping protein complex [GO:0008290]; focal adhesion [GO:0005925]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; calmodulin binding [GO:0005516]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; spectrin binding [GO:0030507]; structural molecule activity [GO:0005198]; transcription factor binding [GO:0008134]; actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; barbed-end actin filament capping [GO:0051016]; cell morphogenesis [GO:0000902]; cell volume homeostasis [GO:0006884]; cellular response to calcium ion [GO:0071277]; erythrocyte differentiation [GO:0030218]; hemoglobin metabolic process [GO:0020027]; homeostasis of number of cells within a tissue [GO:0048873]; in utero embryonic development [GO:0001701]; IRE1-mediated unfolded protein response [GO:0036498]; multicellular organism growth [GO:0035264]; positive regulation of adherens junction organization [GO:1903393]; positive regulation of establishment of endothelial barrier [GO:1903142]; positive regulation of protein binding [GO:0032092]; transmembrane transport [GO:0055085]	P35611
P06733	cell cortex region [GO:0099738]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; phosphopyruvate hydratase complex [GO:0000015]; plasma membrane [GO:0005886]; cadherin binding [GO:0045296]; DNA binding [GO:0003677]; GTPase binding [GO:0051020]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001078]; canonical glycolysis [GO:0061621]; gluconeogenesis [GO:0006094]; negative regulation of cell growth [GO:0030308]; negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway [GO:1903298]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of muscle contraction [GO:0045933]; positive regulation of plasminogen activation [GO:0010756]; response to virus [GO:0009615]; transcription, DNA-templated [GO:0006351]	P06733
Q13155	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; protein complex scaffold [GO:0032947]; apoptotic process [GO:0006915]; negative regulation of cell proliferation [GO:0008285]; positive regulation of aminoacyl-tRNA ligase activity [GO:1903632]; positive regulation of neuron death [GO:1901216]; positive regulation of protein ubiquitination [GO:0031398]; protein complex assembly [GO:0006461]; tRNA aminoacylation for protein translation [GO:0006418]; Type II pneumocyte differentiation [GO:0060510]	Q13155
P05067	apical part of cell [GO:0045177]; astrocyte projection [GO:0097449]; axon [GO:0030424]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; ciliary rootlet [GO:0035253]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; endosome [GO:0005768]; endosome lumen [GO:0031904]; ER to Golgi transport vesicle [GO:0030134]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi lumen [GO:0005796]; growth cone filopodium [GO:1990812]; growth cone lamellipodium [GO:1990761]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; intracellular [GO:0005622]; main axon [GO:0044304]; membrane [GO:0016020]; membrane raft [GO:0045121]; neuromuscular junction [GO:0031594]; nuclear envelope lumen [GO:0005641]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; protein complex [GO:0043234]; receptor complex [GO:0043235]; rough endoplasmic reticulum [GO:0005791]; smooth endoplasmic reticulum [GO:0005790]; spindle midzone [GO:0051233]; synapse [GO:0045202]; terminal bouton [GO:0043195]; trans-Golgi network membrane [GO:0032588]; acetylcholine receptor binding [GO:0033130]; DNA binding [GO:0003677]; enzyme binding [GO:0019899]; growth factor receptor binding [GO:0070851]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; peptidase activator activity [GO:0016504]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; PTB domain binding [GO:0051425]; receptor binding [GO:0005102]; serine-type endopeptidase inhibitor activity [GO:0004867]; transition metal ion binding [GO:0046914]; activation of MAPK activity [GO:0000187]; adult locomotory behavior [GO:0008344]; amyloid fibril formation [GO:1990000]; antibacterial humoral response [GO:0019731]; antifungal humoral response [GO:0019732]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; axo-dendritic transport [GO:0008088]; axon midline choice point recognition [GO:0016199]; axonogenesis [GO:0007409]; cell adhesion [GO:0007155]; cellular copper ion homeostasis [GO:0006878]; cellular process [GO:0009987]; cellular protein metabolic process [GO:0044267]; cellular response to cAMP [GO:0071320]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to norepinephrine stimulus [GO:0071874]; cholesterol metabolic process [GO:0008203]; collateral sprouting in absence of injury [GO:0048669]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; dendrite development [GO:0016358]; endocytosis [GO:0006897]; extracellular matrix organization [GO:0030198]; forebrain development [GO:0030900]; innate immune response [GO:0045087]; ionotropic glutamate receptor signaling pathway [GO:0035235]; learning or memory [GO:0007611]; locomotory behavior [GO:0007626]; mating behavior [GO:0007617]; mRNA polyadenylation [GO:0006378]; negative regulation of calcium ion import across plasma membrane [GO:1905949]; negative regulation of dendritic spine maintenance [GO:1902951]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of gene expression [GO:0010629]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of synapse structural plasticity [GO:0051826]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; neuromuscular process controlling balance [GO:0050885]; neuron apoptotic process [GO:0051402]; neuron projection development [GO:0031175]; neuron remodeling [GO:0016322]; Notch signaling pathway [GO:0007219]; platelet degranulation [GO:0002576]; positive regulation of cellular response to thapsigargin [GO:1905893]; positive regulation of cellular response to tunicamycin [GO:1905896]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of response to endoplasmic reticulum stress [GO:1905898]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein homooligomerization [GO:0051260]; protein phosphorylation [GO:0006468]; regulation of epidermal growth factor-activated receptor activity [GO:0007176]; regulation of multicellular organism growth [GO:0040014]; regulation of NMDA receptor activity [GO:2000310]; regulation of protein binding [GO:0043393]; regulation of response to calcium ion [GO:1905945]; regulation of synapse structure or activity [GO:0050803]; regulation of synaptic activity [GO:0060025]; regulation of translation [GO:0006417]; response to lead ion [GO:0010288]; response to oxidative stress [GO:0006979]; response to yeast [GO:0001878]; smooth endoplasmic reticulum calcium ion homeostasis [GO:0051563]; suckling behavior [GO:0001967]; synapse organization [GO:0050808]; synaptic growth at neuromuscular junction [GO:0051124]; visual learning [GO:0008542]	P05067
Q9UJX4	anaphase-promoting complex [GO:0005680]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein phosphatase binding [GO:0019903]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; mitotic nuclear division [GO:0007067]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K11-linked ubiquitination [GO:0070979]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051439]	Q9UJX4
Q13685	cell surface [GO:0009986]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; preribosome, large subunit precursor [GO:0030687]; heparin binding [GO:0008201]; unfolded protein binding [GO:0051082]; angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; positive regulation of endothelial cell migration [GO:0010595]; ribosomal large subunit biogenesis [GO:0042273]; smooth muscle cell migration [GO:0014909]	Q13685
Q8IZ07	cytoplasm [GO:0005737]; late endosome [GO:0005770]; plasma membrane [GO:0005886]	Q8IZ07
P08758	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endothelial microparticle [GO:0072563]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; intracellular [GO:0005622]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; phospholipase inhibitor activity [GO:0004859]; phospholipid binding [GO:0005543]; blood coagulation [GO:0007596]; negative regulation of apoptotic process [GO:0043066]; negative regulation of coagulation [GO:0050819]; platelet degranulation [GO:0002576]; response to organic substance [GO:0010033]; signal transduction [GO:0007165]	P08758
Q9BXS5	clathrin adaptor complex [GO:0030131]; clathrin-coated endocytic vesicle membrane [GO:0030669]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi membrane [GO:0000139]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; trans-Golgi network membrane [GO:0032588]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; endosome to melanosome transport [GO:0035646]; intracellular protein transport [GO:0006886]; melanosome organization [GO:0032438]; neutrophil degranulation [GO:0043312]; regulation of defense response to virus by virus [GO:0050690]; viral process [GO:0016032]	Q9BXS5
Q96CW1	AP-2 adaptor complex [GO:0030122]; clathrin-coated endocytic vesicle membrane [GO:0030669]; cytosol [GO:0005829]; endocytic vesicle membrane [GO:0030666]; endolysosome membrane [GO:0036020]; extracellular exosome [GO:0070062]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]; ion channel binding [GO:0044325]; lipid binding [GO:0008289]; low-density lipoprotein particle receptor binding [GO:0050750]; signal sequence binding [GO:0005048]; transporter activity [GO:0005215]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; clathrin-dependent endocytosis [GO:0072583]; ephrin receptor signaling pathway [GO:0048013]; intracellular protein transport [GO:0006886]; membrane organization [GO:0061024]; microtubule-based movement [GO:0007018]; negative regulation of protein localization to plasma membrane [GO:1903077]; receptor-mediated endocytosis [GO:0006898]; regulation of defense response to virus by virus [GO:0050690]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]	Q96CW1
